"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "NEP", "NEP_COMMENT", "NEP_DATE_START", "NEP_DATE_END", "NEP_APPROACH", "NEP_SPATIAL_VARIABILITY", 
"US-Oho", "24795", "GRP_NEP", "600", "(range 0.59-0.61) 2004: 0.61; 2005: 0.59", , , , , 
"US-PFa", "27943", "GRP_NEP", "384000", "384 +/- 26; Cook dissertation", , , , , 
"US-SP1", "29203", "GRP_NEP", "217040", "Measured using Eddy covariance", "2006", "2007", "Eddy covariance", , 
"US-SP2", "28828", "GRP_NEP", "348170", "Agrading plantation. NEP range from 164.6 g C m-2 yr-1 (carbon source) in 2001 to -348 g C m-2 yr-1 (carbon sink) in 2006", "2006", "2007", "Eddy covariance", , 
"US-SP3", "29064", "GRP_NEP", "614200", "622 ± (83) gCm-2 yr-1 (9 years of measurements)", "2006", "2007", "Eddy covariance", , 
"US-Syv", "24926", "GRP_NEP", "212", , , , , , 
"US-UMB", "23699", "GRP_NEP", "179000", , "2000", , "See Gough et al., Agric Forest Meteorol. (2008), 148:158-170", , 
"US-UMB", "24721", "GRP_NEP", "198000", , "2001", , "See Gough et al., Agric Forest Meteorol. (2008), 148:158-170", , 
"US-UMB", "24722", "GRP_NEP", "134000", , "2002", , "See Gough et al., Agric Forest Meteorol. (2008), 148:158-170", , 
"US-UMB", "24723", "GRP_NEP", "156000", , "2003", , "See Gough et al., Agric Forest Meteorol. (2008), 148:158-170", , 
"US-UMB", "24858", "GRP_NEP", "96000", , "1999", , "See Gough et al., Agric Forest Meteorol. (2008), 148:158-170", , 
"US-WBW", "24796", "GRP_NEP", "1426", "7.13 Mg C ha-¹            'http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.walker_branch.01", , , , , 
"US-WCr", "25049", "GRP_NEP", "556.5", , , , , , 
"US-Wkg", "24660", "GRP_NEP", "75", "(range 0.05-0.1) Russ Scott:
From Nouvellon, Remote Sensing Env., 78, 1313-149, 2001", , , , , 
"US-Wrc", "23768", "GRP_NEP", "600", , , , , , 
