"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"US-ARM", "89220", "GRP_HEIGHTC", "planted wheat (Everest)", "0", "Mean", , , "20111025", , , , , , 
"US-ARM", "89221", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20030726", , , , , , 
"US-ARM", "89222", "GRP_HEIGHTC", "harvest (winter wheat)", "0.4", "Mean", , , "20020615", , , , , , 
"US-ARM", "89223", "GRP_HEIGHTC", "harvest (corn)", "2", "Mean", , , "20051001", , , , , , 
"US-ARM", "89224", "GRP_HEIGHTC", "planted with Jagalene (winter wheat)", "0", "Mean", , , "20051026", , , , , , 
"US-ARM", "89225", "GRP_HEIGHTC", "planted with wheat (Fuller)", "0", "Mean", , , "20080928", , , , , , 
"US-ARM", "89226", "GRP_HEIGHTC", "harvest (winter wheat)", "0.4", "Mean", , , "20040519", , , , , , 
"US-ARM", "89227", "GRP_HEIGHTC", "harvest (canola)", "0.4", "Mean", , , "20110615", , , , , , 
"US-ARM", "89228", "GRP_HEIGHTC", "bare ground", "0", "Mean", , , "20061111", , , , , , 
"US-ARM", "89229", "GRP_HEIGHTC", "planted with soybean", "0", "Mean", , , "20060629", , , , , , 
"US-ARM", "89230", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20130622", , , , , , 
"US-ARM", "89231", "GRP_HEIGHTC", "harvest (corn)", "2", "Mean", , , "20080925", , , , , , 
"US-ARM", "89232", "GRP_HEIGHTC", "planted alfalfa", "0", "Mean", , , "20150915", , , , , , 
"US-ARM", "89233", "GRP_HEIGHTC", "alfalfa layed down", "0.4", "Mean", , , "20160525", , , , , , 
"US-ARM", "89234", "GRP_HEIGHTC", "corn stubble", "0", "Mean", , , "20090926", , , , , , 
"US-ARM", "89235", "GRP_HEIGHTC", "planted with wheat (Big Max)", "0", "Mean", , , "20061114", , , , , , 
"US-ARM", "89236", "GRP_HEIGHTC", "harvest (wheat)", "0.4", "Mean", , , "20100622", , , , , , 
"US-ARM", "89237", "GRP_HEIGHTC", "planted wheat (Everest)", "0", "Mean", , , "20121010", , , , , , 
"US-ARM", "89238", "GRP_HEIGHTC", "harvest (wheat)", "0.4", "Mean", , , "20140607", , , , , , 
"US-ARM", "89239", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20090619", , , , , , 
"US-ARM", "89240", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20040520", , , , , , 
"US-ARM", "89241", "GRP_HEIGHTC", "Partial harvest (wheat)", "0.2", "Mean", , , "20070707", , , , , , 
"US-ARM", "89242", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20070708", , , , , , 
"US-ARM", "89243", "GRP_HEIGHTC", "planted wheat (Fuller)", "0", "Mean", , , "20090929", , , , , , 
"US-ARM", "89244", "GRP_HEIGHTC", "canola stubble", "0", "Mean", , , "20110616", , , , , , 
"US-ARM", "89245", "GRP_HEIGHTC", "harvest (wheat)", "0.4", "Mean", , , "20090618", , , , , , 
"US-ARM", "89246", "GRP_HEIGHTC", "harvest (soybean)", "0", "Mean", , , "20061110", , , , , , 
"US-ARM", "89247", "GRP_HEIGHTC", "planted with corn (23500 sees per acre) 30 inch spacing", "0", "Mean", , , "20050331", , , , , , 
"US-ARM", "89248", "GRP_HEIGHTC", "bare ground", "0", "Mean", , , "20100623", , , , , , 
"US-ARM", "89249", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20120522", , , , , , 
"US-ARM", "89250", "GRP_HEIGHTC", "planted with corn (GH 113-day)", "0", "Mean", , , "20080428", , , , , , 
"US-ARM", "89251", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20060622", , , , , , 
"US-ARM", "89252", "GRP_HEIGHTC", "harvest (wheat)", "0.4", "Mean", , , "20130621", , , , , , 
"US-ARM", "89253", "GRP_HEIGHTC", "planted with Jaeger (hard red winter wheat)", "0", "Mean", , , "20030928", , , , , , 
"US-ARM", "89254", "GRP_HEIGHTC", "planted with Jaeger (hard red winter wheat)", "0", "Mean", , , "20020928", , , , , , 
"US-ARM", "89255", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20020616", , , , , , 
"US-ARM", "89256", "GRP_HEIGHTC", "planted (cowpeas)", "0", "Mean", , , "20120609", , , , , , 
"US-ARM", "89257", "GRP_HEIGHTC", "planted canola", "0", "Mean", , , "20100928", , , , , , 
"US-ARM", "89258", "GRP_HEIGHTC", "wheat stubble", "0", "Mean", , , "20140608", , , , , , 
"US-ARM", "89259", "GRP_HEIGHTC", "harvest (wheat)", "0.4", "Mean", , , "20120521", , , , , , 
