"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI_ORGANIZATION", "DOI_ORGANIZATION_ROLE", 
"US-Esm", "32255", "GRP_DOI_ORGANIZATION", "Florida International University", "Originator", 
"US-Fcr", "87970", "GRP_DOI_ORGANIZATION", "ArCS, KAKENHI", "Sponsor", 
"US-Fcr", "87976", "GRP_DOI_ORGANIZATION", "Osaka Prefecture Univeristy", "Originator", 
"US-Fcr", "87980", "GRP_DOI_ORGANIZATION", "Shinshu University", "Originator", 
"US-Fmf", "32036", "GRP_DOI_ORGANIZATION", "USDA-NRICGP/NACP", "Sponsor", 
"US-Fmf", "32037", "GRP_DOI_ORGANIZATION", "Northern Arizona University", "Originator", 
"US-FPe", "32047", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-FPe", "32048", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-FR2", "32050", "GRP_DOI_ORGANIZATION", "DOE/NICCR", "Sponsor", 
"US-FR2", "32051", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-FR3", "32053", "GRP_DOI_ORGANIZATION", "DOE/NIGEC", "Sponsor", 
"US-FR3", "32054", "GRP_DOI_ORGANIZATION", "Texas A&M University", "Originator", 
"US-Fuf", "32040", "GRP_DOI_ORGANIZATION", "USDA-NRICGP/NACP", "Sponsor", 
"US-Fuf", "32041", "GRP_DOI_ORGANIZATION", "Northern Arizona University", "Originator", 
"US-Fwf", "32044", "GRP_DOI_ORGANIZATION", "USDA-NRICGP/NACP", "Sponsor", 
"US-Fwf", "32045", "GRP_DOI_ORGANIZATION", "Northern Arizona University", "Originator", 
"US-GBT", "32426", "GRP_DOI_ORGANIZATION", "USDA/Forest Service", "Sponsor", 
"US-GBT", "32427", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-GLE", "32056", "GRP_DOI_ORGANIZATION", "USDA/Forest Service", "Sponsor", 
"US-GLE", "32057", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-GMF", "32059", "GRP_DOI_ORGANIZATION", "DOE/NIGEC, NSF", "Sponsor", 
"US-GMF", "32060", "GRP_DOI_ORGANIZATION", "Yale University", "Originator", 
"US-Goo", "32062", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-Goo", "32063", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Ha1", "31834", "GRP_DOI_ORGANIZATION", "DOE/TES (AmeriFlux Core site), NSF/LTER", "Sponsor", 
