"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_FUNDING", 
"US-KM3", "14730", "GRP_SITE_FUNDING", "USDOE-GLBRC, NSF-LTER, MSU AgBioResearch", 
"US-KM4", "14758", "GRP_SITE_FUNDING", "USDOE-GLBRC, NSF-LTER, MSU AgBioResearch", 
"US-Kon", "11538", "GRP_SITE_FUNDING", "NSF", 
"US-KS1", "15549", "GRP_SITE_FUNDING", "NASA", 
"US-KS2", "15574", "GRP_SITE_FUNDING", "NASA", 
"US-KS3", "79262", "GRP_SITE_FUNDING", "DOE Ameriflux", 
"US-KS4", "79888", "GRP_SITE_FUNDING", "NASA", 
"US-KUO", "11709", "GRP_SITE_FUNDING", "NASA", 
"US-KUT", "11769", "GRP_SITE_FUNDING", "NASA", 
"US-LA1", "85120", "GRP_SITE_FUNDING", "LA Coastal Protection & Restoration Authority, US Geological Survey", 
"US-LA2", "85139", "GRP_SITE_FUNDING", "LA Coastal Protection & Restoration Authority, US Geological Survey", 
"US-LA3", "85147", "GRP_SITE_FUNDING", "US Geological Survey", 
"US-LGr", "13016", "GRP_SITE_FUNDING", "NIFA", 
"US-Lin", "15776", "GRP_SITE_FUNDING", "California Air Resources Board and Citrus Research Board", 
"US-LL1", "83568", "GRP_SITE_FUNDING", "Joseph W. Jones Center, The University of Alabama", 
"US-LL2", "83586", "GRP_SITE_FUNDING", "Joseph W. Jones Center, The University of Alabama", 
"US-LL3", "83614", "GRP_SITE_FUNDING", "Joseph W. Jones Center, The University of Alabama", 
"US-Los", "15288", "GRP_SITE_FUNDING", "DOE Ameriflux Network Management Project", 
"US-LPH", "754", "GRP_SITE_FUNDING", "DOE/NIGEC partly", 
"US-LWW", "755", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-Me1", "10143", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Me2", "12972", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Me3", "17287", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Me4", "2464", "GRP_SITE_FUNDING", "DOE/TCP, NASA Carbon Cycle Science", 
