"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TOWER_TYPE", 
"US-Srr", "30967", "GRP_TOWER_TYPE", "other", 
"US-SSH", "30698", "GRP_TOWER_TYPE", "Other", 
"US-StJ", "13299", "GRP_TOWER_TYPE", "triangle", 
"US-StS", "30119", "GRP_TOWER_TYPE", "triangle", 
"US-SuM", "13073", "GRP_TOWER_TYPE", "triangle", 
"US-SuS", "13092", "GRP_TOWER_TYPE", "triangle", 
"US-SuW", "13113", "GRP_TOWER_TYPE", "triangle", 
"US-Syv", "15326", "GRP_TOWER_TYPE", "Triangle", 
"US-SZ1", "85789", "GRP_TOWER_TYPE", "other", 
"US-SZ2", "85840", "GRP_TOWER_TYPE", "other", 
"US-SZ3", "85863", "GRP_TOWER_TYPE", "other", 
"US-Ton", "33664", "GRP_TOWER_TYPE", "walk-up", 
"US-Tur", "85319", "GRP_TOWER_TYPE", "tripod", 
"US-Tw2", "29995", "GRP_TOWER_TYPE", "walk-up", 
"US-Tw5", "84610", "GRP_TOWER_TYPE", "walk-up", 
"US-Tx1", "86556", "GRP_TOWER_TYPE", "tripod", 
"US-Tx2", "79586", "GRP_TOWER_TYPE", "tripod", 
"US-Tx3", "79543", "GRP_TOWER_TYPE", "tripod", 
"US-Tx4", "79612", "GRP_TOWER_TYPE", "tripod", 
"US-Tx5", "79638", "GRP_TOWER_TYPE", "tripod", 
"US-Tx6", "79650", "GRP_TOWER_TYPE", "tripod", 
"US-Tx7", "79696", "GRP_TOWER_TYPE", "triangle", 
"US-Tx8", "86688", "GRP_TOWER_TYPE", "Walk-up", 
"US-Tx9", "79688", "GRP_TOWER_TYPE", "tripod", 
"US-Uaf", "81374", "GRP_TOWER_TYPE", "walk-up", 
"US-UiA", "87895", "GRP_TOWER_TYPE", "other", 
"US-UiB", "87919", "GRP_TOWER_TYPE", "other", 
"US-UiC", "87941", "GRP_TOWER_TYPE", "other", 
"US-ULM", "29701", "GRP_TOWER_TYPE", "walk-up", 
"US-UM3", "14784", "GRP_TOWER_TYPE", "triangle", 
"US-UMB", "12342", "GRP_TOWER_TYPE", "Triangle", 
"US-UMd", "12375", "GRP_TOWER_TYPE", "triangle", 
"US-Var", "30454", "GRP_TOWER_TYPE", "tripod", 
"US-Vcm", "15495", "GRP_TOWER_TYPE", "triangle", 
"US-Vcp", "15514", "GRP_TOWER_TYPE", "triangle", 
"US-Vcs", "30498", "GRP_TOWER_TYPE", "triangle", 
"US-VFP", "84986", "GRP_TOWER_TYPE", "triangle", 
"US-WCr", "14461", "GRP_TOWER_TYPE", "Triangle", 
"US-Wgr", "16072", "GRP_TOWER_TYPE", "tripod", 
"US-Whs", "11872", "GRP_TOWER_TYPE", "triangle", 
"US-Wjs", "15532", "GRP_TOWER_TYPE", "triangle", 
"US-Wkg", "29710", "GRP_TOWER_TYPE", "triangle", 
"US-Wpp", "16116", "GRP_TOWER_TYPE", "triangle", 
"US-WPT", "12752", "GRP_TOWER_TYPE", "triangle", 
"US-Wwt", "16050", "GRP_TOWER_TYPE", "tripod", 
"US-xAB", "85357", "GRP_TOWER_TYPE", "walk-up", 
"US-xAE", "86236", "GRP_TOWER_TYPE", "walk-up", 
"US-xBA", "85229", "GRP_TOWER_TYPE", "walk-up", 
"US-xBL", "85332", "GRP_TOWER_TYPE", "walk-up", 
"US-xBN", "85547", "GRP_TOWER_TYPE", "walk-up", 
"US-xBR", "79809", "GRP_TOWER_TYPE", "walk-up", 
"US-xCL", "79500", "GRP_TOWER_TYPE", "walk-up", 
"US-xCP", "30474", "GRP_TOWER_TYPE", "walk-up", 
"US-xDC", "85583", "GRP_TOWER_TYPE", "walk-up", 
"US-xDJ", "85552", "GRP_TOWER_TYPE", "walk-up", 
"US-xDL", "85516", "GRP_TOWER_TYPE", "walk-up", 
"US-xDS", "85510", "GRP_TOWER_TYPE", "walk-up", 
"US-xGR", "85487", "GRP_TOWER_TYPE", "walk-up", 
"US-xHA", "79790", "GRP_TOWER_TYPE", "walk-up", 
"US-xHE", "85458", "GRP_TOWER_TYPE", "walk-up", 
"US-xJE", "81959", "GRP_TOWER_TYPE", "walk-up", 
"US-xJR", "85429", "GRP_TOWER_TYPE", "walk-up", 
"US-xKA", "85415", "GRP_TOWER_TYPE", "walk-up", 
"US-xKZ", "79330", "GRP_TOWER_TYPE", "walk-up", 
"US-xLE", "85401", "GRP_TOWER_TYPE", "walk-up", 
"US-xMB", "86051", "GRP_TOWER_TYPE", "walk-up", 
"US-xML", "85373", "GRP_TOWER_TYPE", "walk-up", 
"US-xNG", "81944", "GRP_TOWER_TYPE", "walk-up", 
"US-xNQ", "81910", "GRP_TOWER_TYPE", "walk-up", 
"US-xNW", "83371", "GRP_TOWER_TYPE", "walk-up", 
"US-xPU", "86078", "GRP_TOWER_TYPE", "walk-up", 
"US-xRM", "86148", "GRP_TOWER_TYPE", "walk-up", 
"US-xRN", "86179", "GRP_TOWER_TYPE", "walk-up", 
"US-xSB", "79732", "GRP_TOWER_TYPE", "walk-up", 
"US-xSC", "86204", "GRP_TOWER_TYPE", "walk-up", 
"US-xSE", "81898", "GRP_TOWER_TYPE", "walk-up", 
"US-xSJ", "86328", "GRP_TOWER_TYPE", "walk-up", 
"US-xSL", "87109", "GRP_TOWER_TYPE", "walk-up", 
"US-xSP", "86390", "GRP_TOWER_TYPE", "walk-up", 
"US-xSR", "79779", "GRP_TOWER_TYPE", "walk-up", 
"US-xST", "86335", "GRP_TOWER_TYPE", "walk-up", 
"US-xTA", "86375", "GRP_TOWER_TYPE", "walk-up", 
"US-xTE", "86309", "GRP_TOWER_TYPE", "walk-up", 
"US-xTL", "86213", "GRP_TOWER_TYPE", "walk-up", 
"US-xTR", "86432", "GRP_TOWER_TYPE", "walk-up", 
"US-xUK", "86127", "GRP_TOWER_TYPE", "walk-up", 
"US-xUN", "79746", "GRP_TOWER_TYPE", "walk-up", 
"US-xWD", "79307", "GRP_TOWER_TYPE", "walk-up", 
"US-xWR", "86084", "GRP_TOWER_TYPE", "walk-up", 
"US-xYE", "86107", "GRP_TOWER_TYPE", "walk-up", 
