"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "WD_BIOMASS_CRS", "WD_BIOMASS_UNIT", "WD_BIOMASS_DATE", "WD_BIOMASS_COMMENT", "WD_BIOMASS_FINE", "WD_BIOMASS_CRS_SPATIAL_VARIABILITY", "WD_BIOMASS_CRS_SPATIAL_REP_NUMBER", "WD_BIOMASS_APPROACH", "WD_BIOMASS_FINE_SPATIAL_VARIABILITY", "WD_BIOMASS_FINE_SPATIAL_REP_NUMBER", "WD_BIOMASS_DATE_UNC", 
"US-Me2", "19661", "GRP_WD_BIOMASS", "1426", "gC m-2", "2001", , "382.36", , , , , , , 
"US-Me3", "23685", "GRP_WD_BIOMASS", "27", "gC m-2", "2003", , "199.6", , , , , , , 
"US-Me4", "23943", "GRP_WD_BIOMASS", , "gC m-2", "2001", , "451", , , , , , , 
"US-Me4", "24047", "GRP_WD_BIOMASS", , "gC m-2", "2001", , "136", , , , , , , 
"US-Me4", "24444", "GRP_WD_BIOMASS", "501", "gC m-2", "2001", "jirvine:includes logs", , , , , , , , 
"US-Me4", "25092", "GRP_WD_BIOMASS", "511", "gC m-2", "2001", "jirvine:includes logs", , , , , , , , 
"US-Me5", "23669", "GRP_WD_BIOMASS", , "gC m-2", "2001", , "459", , , , , , , 
"US-Me5", "24692", "GRP_WD_BIOMASS", "691", "gC m-2", "2001", "jirvine:includes logs, snags and stumps.", , , , , , , , 
"US-MMS", "18295", "GRP_WD_BIOMASS", , "gC m-2", "2002", , "36.04", , , , , , , 
"US-MMS", "18364", "GRP_WD_BIOMASS", "212.1", "gC m-2", "2003", , , , , , , , , 
"US-MMS", "18369", "GRP_WD_BIOMASS", , "gC m-2", "1999", , "18.56", , , , , , , 
"US-MMS", "18373", "GRP_WD_BIOMASS", , "gC m-2", "2000", , "25.39", , , , , , , 
"US-MMS", "18377", "GRP_WD_BIOMASS", , "gC m-2", "2001", , "41.04", , , , , , , 
"US-PFa", "28207", "GRP_WD_BIOMASS", "998", "gC m-2", "2006", "998 (Dry Basis); 2004/2006 average from summer sampling; From Ryan Anderson", , , , , , , , 
"US-PFa", "28208", "GRP_WD_BIOMASS", "244", "gC m-2", "2000", "P. Bolstad, Taken at Willow Creek", , , , , , , , 
"US-PFa", "29031", "GRP_WD_BIOMASS", "998", "gC m-2", "2004", "998 (Dry Basis); 2004/2006 average from summer sampling; From Ryan Anderson", , , , , , , , 
"US-PFa", "29491", "GRP_WD_BIOMASS", "998", "gC m-2", "2005", "998 (Dry Basis); 2004/2006 average from summer sampling; From Ryan Anderson", , , , , , , , 
"US-Slt", "28766", "GRP_WD_BIOMASS", , "gC m-2", "20080601", "24 1 m2 plots, L horizon only", "61.3", , , , "45.5", , , 
"US-Slt", "28930", "GRP_WD_BIOMASS", , "gC m-2", "20040601", "10 1 m2 plots, L horizon only", "105.0", , , , "66.7", , , 
"US-SP1", "28827", "GRP_WD_BIOMASS", "86.9", "gC m-2", "2007", "Total in one year", , , , , , , , 
"US-SP2", "28838", "GRP_WD_BIOMASS", "2.94", "gC m-2", "2006", "Total woody debries masured in 2006; Jan-2006 to Dec-2006", , , , , , , , 
"US-UMB", "18399", "GRP_WD_BIOMASS", "289.7", "gC m-2", "20000714", , , "150.6", "4", "Coarse woody debris plots were .08 ha in size and debris with diameter of 10 cm or greater were included.  Species specific density and decay classes (5 classes each) were used to determine mass of debris.", , , "28", 
"US-UMB", "18410", "GRP_WD_BIOMASS", "259.9", "gC m-2", "20031114", , , "231.9", "12", "Coarse woody debris plots were .08 ha in size and debris with diameter of 10 cm or greater were included.  Species specific density and decay classes (5 classes each) were used to determine mass of debris.", , , "28", 
"US-UMB", "18420", "GRP_WD_BIOMASS", "272.2", "gC m-2", "20090714", , , "205.4", "12", "Coarse woody debris plots were .08 ha in size and debris with diameter of 10 cm or greater were included.  Species specific density and decay classes (5 classes each) were used to determine mass of debris.", , , "28", 
