"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "STATE", 
"US-Srr", "30962", "GRP_STATE", "CA", 
"US-SSH", "30695", "GRP_STATE", "PA", 
"US-Sta", "12503", "GRP_STATE", "WY", 
"US-StJ", "13297", "GRP_STATE", "DE", 
"US-StS", "30115", "GRP_STATE", "SC", 
"US-SuM", "13071", "GRP_STATE", "HI", 
"US-SuS", "13090", "GRP_STATE", "HI", 
"US-SuW", "13111", "GRP_STATE", "HI", 
"US-Syv", "15324", "GRP_STATE", "MI", 
"US-SZ1", "85785", "GRP_STATE", "WA", 
"US-SZ2", "85847", "GRP_STATE", "WA", 
"US-SZ3", "85850", "GRP_STATE", "WA", 
"US-Ton", "9348", "GRP_STATE", "CA", 
"US-Tur", "85305", "GRP_STATE", "MT", 
"US-Tw1", "12572", "GRP_STATE", "CA", 
"US-Tw2", "11275", "GRP_STATE", "CA", 
"US-Tw3", "11294", "GRP_STATE", "CA", 
"US-Tw4", "11314", "GRP_STATE", "CA", 
"US-Tw5", "84620", "GRP_STATE", "CA", 
"US-Twt", "11944", "GRP_STATE", "CA", 
"US-Tx1", "86568", "GRP_STATE", "TX", 
"US-Tx2", "79566", "GRP_STATE", "TX", 
"US-Tx3", "79553", "GRP_STATE", "TX", 
"US-Tx4", "79605", "GRP_STATE", "TX", 
"US-Tx5", "79632", "GRP_STATE", "TX", 
"US-Tx6", "79660", "GRP_STATE", "TX", 
"US-Tx7", "79701", "GRP_STATE", "TX", 
"US-Tx8", "86680", "GRP_STATE", "TX", 
"US-Tx9", "79676", "GRP_STATE", "TX", 
"US-Uaf", "81369", "GRP_STATE", "AK", 
"US-UiA", "87897", "GRP_STATE", "IL", 
"US-UiB", "87911", "GRP_STATE", "IL", 
"US-UiC", "87934", "GRP_STATE", "IL", 
"US-ULM", "8452", "GRP_STATE", "LA", 
"US-UM3", "14782", "GRP_STATE", "OH", 
"US-UMB", "12340", "GRP_STATE", "MI", 
"US-UMd", "12373", "GRP_STATE", "MI", 
"US-Upa", "5760", "GRP_STATE", "AK", 
"US-Var", "11334", "GRP_STATE", "CA", 
"US-Vcm", "11687", "GRP_STATE", "NM", 
"US-Vcp", "12412", "GRP_STATE", "NM", 
"US-Vcs", "30493", "GRP_STATE", "NM", 
"US-VFP", "84982", "GRP_STATE", "VA", 
"US-WBW", "2341", "GRP_STATE", "TN", 
"US-WCr", "14459", "GRP_STATE", "WI", 
"US-Wdn", "12521", "GRP_STATE", "CO", 
"US-Wgr", "16070", "GRP_STATE", "OR", 
"US-Whs", "11870", "GRP_STATE", "AZ", 
"US-Wi0", "6605", "GRP_STATE", "WI", 
"US-Wi1", "7432", "GRP_STATE", "WI", 
"US-Wi2", "2327", "GRP_STATE", "WI", 
"US-Wi3", "4899", "GRP_STATE", "WI", 
"US-Wi4", "2328", "GRP_STATE", "WI", 
"US-Wi5", "8295", "GRP_STATE", "WI", 
"US-Wi6", "4900", "GRP_STATE", "WI", 
"US-Wi7", "7433", "GRP_STATE", "WI", 
"US-Wi8", "3184", "GRP_STATE", "WI", 
"US-Wi9", "1487", "GRP_STATE", "WI", 
"US-Wjs", "12432", "GRP_STATE", "NM", 
"US-Wkg", "11807", "GRP_STATE", "AZ", 
"US-Wlr", "12472", "GRP_STATE", "KS", 
"US-Wpp", "16114", "GRP_STATE", "OR", 
"US-WPT", "12750", "GRP_STATE", "OH", 
"US-Wrc", "12454", "GRP_STATE", "WA", 
"US-Wwt", "16048", "GRP_STATE", "OR", 
"US-xAB", "85359", "GRP_STATE", "WA", 
"US-xAE", "86235", "GRP_STATE", "OK", 
"US-xBA", "85226", "GRP_STATE", "AK", 
"US-xBL", "85323", "GRP_STATE", "VA", 
"US-xBN", "85541", "GRP_STATE", "AK", 
"US-xBR", "79813", "GRP_STATE", "NH", 
"US-xCL", "79498", "GRP_STATE", "TX", 
"US-xCP", "30471", "GRP_STATE", "CO", 
"US-xDC", "85585", "GRP_STATE", "ND", 
"US-xDJ", "85561", "GRP_STATE", "AK", 
"US-xDL", "85524", "GRP_STATE", "AL", 
"US-xDS", "85506", "GRP_STATE", "FL", 
"US-xGR", "85484", "GRP_STATE", "TN", 
"US-xHA", "79788", "GRP_STATE", "MA", 
"US-xHE", "85452", "GRP_STATE", "AK", 
